iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3497911.1054098755,2.914925921174896,-2.914925825230504,-2.914871490021745
1,139174.10285680802,0.11597841904734002,-0.11547902766293257,-0.12195558823477608
2,-562424.9109251788,-0.4686874257709823,0.5027609471126556,0.48887619193662823
3,-675786.3287146548,-0.563155273928879,0.6113737090884411,0.5969879037347844
4,-742385.9736897511,-0.6186549780747926,0.6687838619492169,0.6547349085335074
5,-779581.7811339136,-0.6496514842782612,0.7006966413675308,0.6861212392194905
6,-791107.4691055167,-0.6592562242545972,0.7112858131193907,0.6962664906875089
7,-797244.938438603,-0.6643707820321691,0.716836652644007,0.7014736015826137
8,-804240.3414886666,-0.6702002845738888,0.7234254351376361,0.7070453138899442
9,-808152.5497513191,-0.6734604581260992,0.7274176080466008,0.711222208469955
10,-809426.0918847854,-0.6745217432373212,0.7285227781714866,0.7124057193617631
11,-810710.4433305351,-0.6755920361087793,0.7297448040020199,0.7129775263780102
12,-811886.8084482064,-0.6765723403735053,0.730873418264467,0.7138030744703012
13,-812498.4015179554,-0.6770820012649628,0.73153127481441,0.7139457350535664
14,-812945.9404401121,-0.6774549503667601,0.7320426863432036,0.714142579547422
15,-813601.9412576796,-0.678001617714733,0.7326883564964748,0.7141033922070836
16,-814032.6826288975,-0.6783605688574146,0.7330803642512842,0.7142517474212305
17,-814685.7271042996,-0.6789047725869163,0.7336704552927688,0.7138929299929856
18,-814917.4751613552,-0.679097895967796,0.7338787162207993,0.7135287674319606
19,-815015.6205548345,-0.6791796837956954,0.7339603786086604,0.7133988102540925
20,-815039.0925486288,-0.679199243790524,0.7339833514471538,0.7135102463761507
