iter,train_loss,train_loss_per_pixel,train_score_per_pixel,valid_score_per_pixel
0,3490678.906458487,2.9088990887154056,-2.908898897003251,-2.908875296840032
1,67302.4540106426,0.05608537834220217,-0.055171772095916144,-0.05914521789168394
2,-594341.1813891757,-0.4952843178243131,0.5364079651412478,0.5160053345169269
3,-698416.327008125,-0.5820136058401042,0.6314545133941479,0.6082769620717358
4,-752177.6702898283,-0.6268147252415236,0.6770439021794565,0.6532121500513949
5,-785677.2515905981,-0.6547310429921651,0.7060779836955519,0.6807878503469824
6,-803777.6098880444,-0.6698146749067037,0.7220854255183746,0.6970223529125574
7,-813620.9804207935,-0.6780174836839946,0.7309238464066888,0.7070963490979029
8,-821456.6567308232,-0.6845472139423526,0.7378934316754584,0.7141199335272179
9,-831180.5133413152,-0.6926504277844293,0.7467331672571308,0.72228927801301
10,-838355.6590516525,-0.6986297158763771,0.7533512433245373,0.728441741377124
11,-844302.1787748935,-0.703585148979078,0.7588764353118356,0.7331805026073255
12,-847599.2580117036,-0.706332715009753,0.7620548210718984,0.7362983893578182
13,-850524.7686927012,-0.708770640577251,0.7648723796252084,0.7392706626269002
14,-852958.5754642945,-0.7107988128869122,0.7670790406826619,0.7417113950661042
15,-854594.5720486641,-0.7121621433738867,0.7686588082207275,0.7431381357931168
16,-856035.5210558578,-0.7133629342132148,0.7699901295173853,0.7442892457659201
17,-856914.4334644687,-0.7140953612203905,0.7708293872780632,0.7449577642599723
18,-857460.0233393372,-0.7145500194494476,0.7713775802721116,0.7452384116461012
19,-857834.2233301938,-0.7148618527751615,0.7717196677240553,0.745462197599103
20,-858256.3398588297,-0.7152136165490248,0.7720840142164428,0.7457985945210673
